"GearType","MarineMammalMortality","Country"
"Gillnet",92.6,"Canada"
"Trawl",48,"Canada"
"Longline",2,"Canada"
"Trawl",471.1,"Chile"
"Gillnet",220,"Chile"
"Seine",186.8,"Chile"
"Longline",0.7,"Chile"
"Gillnet",5380.5,"Iceland"
"Trawl",30.6,"Iceland"
"Gillnet",3784,"Norway"
"Seine",1.33,"Norway"
