"GearType","MarineMammalMortality"
"Fixed gillnets (on stakes), (Demersal)",0
"Gillnets and entangling nets (not specified), (Bottom)",0
"Gillnets and entangling nets (not specified), (Demersal)",0
"Gillnets and entangling nets (not specified), (Pelagic)",0
"Gillnets and entangling nets (not specified), (Pelagic) ",0
"Handlines and hand­operated pole­ and­lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",0
"Purse seines, (Pelagic)",0
"Trawls (not specified), (Bottom)",0
