"GearType","Frequency"
"Trawls (not specified), (Bottom)",5
"Midwater trawls (not specified), (Pelagic)",4
"Purse seines, (Pelagic)",4
"shrimp/prawn trawl, (Bottom)",4
"Gillnets and entangling nets (not specified), (Demersal)",3
"Longlines (not specified), (Bottom)",1
"Longlines (not specified), (Pelagic)",1
"Nephrops trawl (bottom)",1
