"GearType","MarineMammalMortality"
"Set gillnets/set nets (anchored), (Bottom)",3784
"Purse seines, (Pelagic)",1.33
"Longlines (not specified), (Bottom)",0
"Trawls (not specified), (Bottom)",0
"Trawls (not specified), (Midwater)",0
