"GearType","Frequency"
"Set gillnets/set nets (anchored), (Bottom)",3
"Purse seines, (Pelagic)",2
"Longlines (not specified), (Bottom)",1
"Trawls (not specified), (Bottom)",1
"Trawls (not specified), (Midwater)",1
