"ExportFishery","GearType","Vessels","Licenses","Participants","MarineMammalMortality","RFMO","AdditionalInfo"
"Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Capelin (Mallotus villosus); European sprat (Sprattus sprattus)","Purse seines, (Pelagic)",370,NA,NA,1.33,"NEAFC","Humpback whale (North Atlantic): .33; Killer whale, orca (North East Atlantic): 1"
"Atlantic cod (Gadus morhua); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); marine shrimps nei","Trawls (not specified), (Bottom)",45,45,45,NA,"NAFO, NAEFC",NA
