ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Atlantic saury (Scomberesox saurus); Chilean jack mackerel (Trachurus murphyi); Chilean silverside (Odontesthes regia); Common dolphinfish (Coryphaena hippurus); Corvina drum (Cilus gilberti); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Longnose anchovy (Anchoa nasus); Mote sculpin (Normanichthys crockeri); Ocean sunfish (Mola mola); Oceanic lightfish (Vinciguerria nimbaria); Opah (Lampris guttatus); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Patagonian squid (Loligo gahi); Plownose chimaera (Callorhinchus callorynchus); Punctuated snake­eel (Ophichthus remiger); Red­eye round herring (Etrumeus teres); Sciaenas nei (Sciaena spp); Shortfin scad (Decapterus macrosoma); Skipjack tuna (Katsuwonus pelamis); South American pilchard (Sardinops sagax); Starry butterfish (Stromateus stellatus); Swordfish (Xiphias gladius),"Purse seines, (Surface)",55,55,55,109,,"Common bottlenose dolphin: 15; Common dolphin, saddleback dolphin:15 ; Dusky dolphin: 71.5"
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Atlantic saury (Scomberesox saurus); Chilean jack mackerel (Trachurus murphyi); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Oceanic lightfish (Vinciguerria nimbaria); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Patagonian squid (Loligo gahi); South American pilchard (Sardinops sagax),"Purse seines, (Surface)",0,,,,,
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Araucanian herring (Strangomera bentincki); Atlantic saury (Scomberesox saurus); Bigeye tuna (Thunnus obesus); Chilean jack mackerel (Trachurus murphyi); Chilean silverside (Odontesthes regia); Common dolphinfish (Coryphaena hippurus); Corvina drum (Cilus gilberti); Eastern Pacific bonito (Sarda chiliensis); Filefishes nei (Cantherhines (=Navodon) spp); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian squid (Loligo gahi); Plownose chimaera (Callorhinchus callorynchus); Silver warehou (Seriolella punctata); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Starry butterfish (Stromateus stellatus); White warehou (Seriolella caerulea),"Purse seines, (Surface)",10,,,50,,South American sea lion (South American sea lion chilean stock): 50
Albacore (Thunnus alalunga); Angler(=Monk) (Lophius piscatorius); Angler(=Monk) (Lophius piscatorius); Bigeye tuna (Thunnus obesus); Blue shark (Prionace glauca); Blue shark (Prionace glauca); Butterfly kingfish (Gasterochisma melampus); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Escolar (Lepidocybium flavobrunneum); Oilfish (Ruvettus pretiosus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Rays and skates nei (Rajidae); Shortfin mako (Isurus oxyrinchus); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Striped marlin (Tetrapturus audax); Thresher (Alopias vulpinus); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi),"Longlines (not specified), (Pelagic)",100,,,0,IATTC,
Albacore (Thunnus alalunga); Bigeye tuna (Thunnus obesus); Blue shark (Prionace glauca); Butterfly kingfish (Gasterochisma melampus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Shortfin mako (Isurus oxyrinchus); Swordfish (Xiphias gladius); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi),"Gillnets and entangling nets (not specified), (Pelagic)",200,,,220,IATTC,"Common dolphin, saddleback dolphin (UNKNOWN): 95; Juan Fernandez fur seal (Juan Fernandez Archipelago): 83; Long­finned pilot whale (UNKNOWN): 17; South American sea lion (South American sea lion chilean stock): 17;"
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Black cusk­eel (Genypterus maculatus); Blue squat lobster (Cervimunida johni); Cabinza grunt (Isacia conceptionis); Carrot squat lobster (Pleuroncodes monodon); Chilean jack mackerel (Trachurus murphyi); Chilean nylon shrimp (Heterocarpus reedi); Corvina drum (Cilus gilberti); Cusk­eels nei (Genypterus spp); Fine flounder (Paralichthys adspersus); Jumbo flying squid (Dosidicus gigas); Pacific chub mackerel (Scomber japonicus); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian redfish (Sebastes oculatus); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Red cusk­eel (Genypterus chilensis); Sciaenas nei (Sciaena spp); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis),"Gillnets and entangling nets (not specified), (Pelagic)",1150,,,,,
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Black cusk­eel (Genypterus maculatus); Blue squat lobster (Cervimunida johni); Cabinza grunt (Isacia conceptionis); Cape redfish (Sebastes capensis); Carrot squat lobster (Pleuroncodes monodon); Chilean jack mackerel (Trachurus murphyi); Chilean nylon shrimp (Heterocarpus reedi); Epigonus crassicaudus (Epigonus crassicaudus); Fine flounder (Paralichthys adspersus); Jumbo flying squid (Dosidicus gigas); Pacific chub mackerel (Scomber japonicus); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian blennie (Eleginops maclovinus); Patagonian grenadier (Macruronus magellanicus); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Red cusk­eel (Genypterus chilensis); Sciaenas nei (Sciaena spp); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern blue whiting (Micromesistius australis); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens),"Trawls (not specified), (Demersal)",3,,,0,,
Black cusk­eel (Genypterus maculatus); Cape redfish (Sebastes capensis); Chilean jack mackerel (Trachurus murphyi); Epigonus crassicaudus (Epigonus crassicaudus); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian blennie (Eleginops maclovinus); Patagonian grenadier (Macruronus magellanicus); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Rays and skates nei (Rajidae); Red cusk­eel (Genypterus chilensis); Rosefishes nei (Helicolenus spp); Slender tuna (Allothunnus fallai); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern hake (Merluccius australis); Southern rays bream (Brama australis); White warehou (Seriolella caerulea); Yellownose skate (Zearaja chilensis),"Longlines (not specified), (Demersal)",3484,,,,,
Cape redfish (Sebastes capensis); Chilean jack mackerel (Trachurus murphyi); Patagonian grenadier (Macruronus magellanicus); Patagonian redfish (Sebastes oculatus); Patagonian toothfish (Dissostichus eleginoides); Pink cusk­eel (Genypterus blacodes); Silver warehou (Seriolella punctata); Snoek (Thyrsites atun); Southern blue whiting (Micromesistius australis); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Tadpole codling (Salilota australis); White warehou (Seriolella caerulea),"Midwater trawls (not specified), (Demersal)",2,,,4.3,,American fur seal (Chilean south stock): 1.3; South American sea lion (South American sea lion chilean stock): 3
Cape redfish (Sebastes capensis); Chilean jack mackerel (Trachurus murphyi); Cusk­eels nei (Genypterus spp); Epigonus crassicaudus (Epigonus crassicaudus); Jumbo flying squid (Dosidicus gigas); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Palm ruff (Seriolella violacea); Patagonian blennie (Eleginops maclovinus); Patagonian grenadier (Macruronus magellanicus); Patagonian redfish (Sebastes oculatus); Patagonian redfish (Sebastes oculatus); Patagonian toothfish (Dissostichus eleginoides); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Plownose chimaera (Callorhinchus callorynchus); Silver warehou (Seriolella punctata); Silver warehou (Seriolella punctata); Slender tuna (Allothunnus fallai); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern blue whiting (Micromesistius australis); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens); Tadpole codling (Salilota australis); Tadpole codling (Salilota australis); Tadpole codling (Salilota australis); White warehou (Seriolella caerulea); White warehou (Seriolella caerulea),"Midwater trawls (not specified), (Demersal)",4,,,212.5,,South American fur seal (Chilean south stock): 2.5; South American sea lion (South American sea lion chilean stock): 210.3
Corvina drum (Cilus gilberti); Plownose chimaera (Callorhinchus callorynchus); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis),"Gillnets and entangling nets (not specified), (Demersal)",715,,,,,
"Corvina drum (Cilus gilberti); Plownose chimaera (Callorhinchus callorynchus); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis)
","Longlines (not specified), (Pelagic)",438,,,,,
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Black cusk­eel (Genypterus maculatus); Blue squat lobster (Cervimunida johni); Cape redfish (Sebastes capensis); Carrot squat lobster (Pleuroncodes monodon); Chilean jack mackerel (Trachurus murphyi); Chilean nylon shrimp (Heterocarpus reedi); Epigonus crassicaudus (Epigonus crassicaudus); Jumbo flying squid (Dosidicus gigas); Lobsters nei (Reptantia); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian grenadier (Macruronus magellanicus); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Red cusk­eel (Genypterus chilensis); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens); Tadpole codling (Salilota australis),"Bottom trawls (not specified), (Bottom)",7,7,7,0,,
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Black cusk­eel (Genypterus maculatus); Blue squat lobster (Cervimunida johni); Cape redfish (Sebastes capensis); Carrot squat lobster (Pleuroncodes monodon); Chilean jack mackerel (Trachurus murphyi); Chilean nylon shrimp (Heterocarpus reedi); Epigonus crassicaudus (Epigonus crassicaudus); Jumbo flying squid (Dosidicus gigas); Lobsters nei (Reptantia); Pacific sandperch (Prolatilus jugularis); Patagonian grenadier (Macruronus magellanicus); Patagonian squid (Loligo gahi); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Red cusk­eel (Genypterus chilensis); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens),"Bottom trawls (not specified), (Bottom)",19,,,20.3,,South American sea lion (South American sea lion chilean stock): 20.3
Albacore (Thunnus alalunga); Angler(=Monk) (Lophius piscatorius); Bigeye tuna (Thunnus obesus); Blue shark (Prionace glauca); Butterfly kingfish (Gasterochisma melampus); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Escolar (Lepidocybium flavobrunneum); Oilfish (Ruvettus pretiosus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Rays and skates nei (Rajidae); Shortfin mako (Isurus oxyrinchus); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Striped marlin (Tetrapturus audax); Striped marlin (Tetrapturus audax); Swordfish (Xiphias gladius); Thresher (Alopias vulpinus); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi),"Longlines (not specified), (Pelagic)",3,,,0.7,IATTC,Juan Fernandez fur seal (Juan Fernandez Archipelago): .7
murphyi); Epigonus crassicaudus (Epigonus crassicaudus); Jumbo flying squid (Dosidicus gigas); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian blennie (Eleginops maclovinus); Patagonian grenadier (Macruronus magellanicus); Patagonian redfish (Sebastes oculatus); Patagonian toothfish (Dissostichus eleginoides); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Silver warehou (Seriolella punctata); Slender tuna (Allothunnus fallai); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern blue whiting (Micromesistius australis); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens); Tadpole codling (Salilota australis); White warehou (Seriolella caerulea),"Trawls (not specified), (Demersal)",4,,,67.5,,South American fur seal (Chilean south stock): 37.3; South American sea lion (South American sea lion chilean stock): 30.5;
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Black cusk­eel (Genypterus maculatus); Blue squat lobster (Cervimunida johni); Cabinza grunt (Isacia conceptionis); Cape redfish (Sebastes capensis); Carrot squat lobster (Pleuroncodes monodon); Chilean jack mackerel (Trachurus murphyi); Chilean nylon shrimp (Heterocarpus reedi); Epigonus crassicaudus (Epigonus crassicaudus); Fine flounder (Paralichthys adspersus); Jumbo flying squid (Dosidicus gigas); Pacific chub mackerel (Scomber japonicus); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian blennie (Eleginops maclovinus); Patagonian grenadier (Macruronus magellanicus); Peruvian rock seabass (Paralabrax humeralis); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Red cusk­eel (Genypterus chilensis); Sciaenas nei (Sciaena spp); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern blue whiting (Micromesistius australis); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens),"Trawls (not specified), (Demersal)",6,,,145.5,,South American sea lion (South American sea lion chilean stock): 145.5
Bastard halibuts nei (Paralichthys spp); Bigeye flounder (Hippoglossina macrops); Cape redfish (Sebastes capensis); Chilean jack mackerel (Trachurus murphyi); Epigonus crassicaudus (Epigonus crassicaudus); Jumbo flying squid (Dosidicus gigas); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian grenadier (Macruronus magellanicus); Patagonian grenadier (Macruronus magellanicus); Pink cusk­eel (Genypterus blacodes); Sciaenas nei (Sciaena spp); Sciaenas nei (Sciaena spp); Silver warehou (Seriolella punctata); South Pacific hake (Merluccius gayi); Southern hake (Merluccius australis); Southern rays bream (Brama australis); Splendid alfonsino (Beryx splendens); Tadpole codling (Salilota australis),"Midwater trawls (not specified), (Demersal)",6,,,21,,South American sea lion (South American sea lion chilean stock): 21
Blue antimora (Antimora rostrata); Greenland shark (Somniosus microcephalus); Grenadiers nei (Macrourus spp); Patagonian toothfish (Dissostichus eleginoides); Rays and skates nei (Rajidae),"Longlines (not specified), (Bottom)",3,,,,,
