ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Albacore (Thunnus alalunga); Bigeye tuna (Thunnus obesus); Dolphinfishes nei (Coryphaenidae); Swordfish (Xiphias gladius); Tunas nei (Thunnini); Yellowfin tuna (Thunnus albacares),"Set longlines, (Pelagic)",90,60,950,0,WCPFC,
Flatfishes nei (Pleuronectiformes); Righteye flounders nei (Pleuronectidae),"Set gillnets/set nets (anchored), (Surface)",1324,1324,,,,
