ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Patagonian toothfish (Dissostichus eleginoides),"Longlines (not specified), (Bottom)",1,1,,0,"CCAMLR, IATTC",
Marine crustaceans nei (Crustacea); marine shrimps nei,"Set gillnets/set nets (anchored), (Bottom)",38,,,0,,
Bighead tilefish (Caulolatilus affinis); Brazilian groupers nei (Mycteroperca spp); Broomtail grouper (Mycteroperca xenarcha); Brotula clarki (Brotula clarki); Chilhuil sea catfish (Bagre panamensis); Fortune jack (Seriola peruana); God's flounder (Cyclopsetta panamensis); Graery threadfin seabass (Cratinus agassizii); Longfin yellowtail (Seriola rivoliana); Olive grouper (Epinephelus cifuentesi); Pacific harvestfish (Peprilus medius); Pacific mutton hamlet (Alphestes immaculatus); Paralabrax spp (Paralabrax spp); Polla drum (Umbrina xanti); Red sea catfish (Bagre pinnimaculatus); Rooster hind (Epinephelus acanthistius); Schedophilus nei (Schedophilus spp); Snappers nei (Lutjanus spp); Snooks(=Robalos) nei (Centropomus spp); Speckled flounder (Paralichthys woolmani); Specklefin cusk­eel (Lepophidium negropinna); Starry grouper (Epinephelus labriformis); Toothed flounder (Cyclopsetta querna); Weakfishes nei(=corvina/curvina),"Gillnets and entangling nets (not specified), (Bottom)",,1585,,0,,
Atlantic redfishes nei (Sebastes spp); Catfishes nei (Ictalurus spp); Cornetfish (Fistularia tabacaria); Croakers/drums nei (Sciaenidae); Ocean whitefish (Caulolatilus princeps); Penaeus shrimps nei (Penaeus spp); South Pacific hake (Merluccius gayi); Titi shrimp (Protrachypene precipua); Trachypenaeus shrimps nei (Trachypenaeus spp); Weakfishes nei(=corvina/curvina) (Cynoscion spp); Whiteleg shrimp (Penaeus vannamei); Zebra shrimp (Trachypenaeus pacificus),"Trawls (not specified), (Bottom)",40,,,0,,
Bigeye tuna (Thunnus obesus); Black marlin (Makaira indica); Common dolphinfish (Coryphaena hippurus); Escolar (Lepidocybium flavobrunneum); Marlins nei (Makaira spp); Opah (Lampris guttatus); Skipjack tuna (Katsuwonus pelamis); Swordfish (Xiphias gladius); Tunas nei (Thunnini); Various sharks nei (Selachimorpha (Pleurotremata)); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares),"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",277,,,0,IATTC,
Bigeye tuna (Thunnus obesus); Black skipjack (Euthynnus lineatus); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Escolar (Lepidocybium flavobrunneum); Indo­ Pacific sailfish (Istiophorus platypterus); Marlins nei (Makaira spp); Pacific sierra (Scomberomorus sierra); Skipjack tuna (Katsuwonus pelamis); Striped marlin (Tetrapturus audax); Swordfish (Xiphias gladius); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares),"Gillnets and entangling nets (not specified), (Surface)",1500,,,,,
"japonicus); Red­eye round herring (Etrumeus teres); Smelts nei (Osmerus spp, Hypomesus spp)","Purse seines, (Midwater), Purse seines, (Surface)",282,,,0,,
"Hakes nei (Merluccius spp); Saithe(=Pollock) (Pollachius virens); Smelts nei (Osmerus spp, Hypomesus spp); Whiting (Merlangius merlangus)","Trawls (not specified), (Midwater)",40,,,,,
Atlantic redfishes nei (Sebastes spp); Catfishes nei (Ictalurus spp); Cornetfish (Fistularia tabacaria); Croakers/drums nei (Sciaenidae); Ocean whitefish (Caulolatilus princeps); Weakfishes nei(=corvina/curvina) (Cynoscion spp),"Longlines (not specified), (Bottom)",,,4489,,,
