ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Banana prawn (Fenneropenaeus merguiensis); Black pomfret (Parastromateus niger); Blue swimming crab (Portunus pelagicus); Catfishes nei (Ictalurus spp); Flathead lobster (Thenus orientalis); Fourfinger threadfin (Eleutheronema tetradactylum); Giant tiger prawn (Penaeus monodon); Greasyback shrimp (Metapenaeus ensis); Greenback mullet (Chelon subviridis); Herrings/sardines nei (Clupeidae); Indian mackerel (Rastrelliger kanagurta); Jinga shrimp (Metapenaeus affinis); King crabs/stone crabs nei (Lithodidae); Lobsters nei (Reptantia); Mackerels nei (Scombridae); Marine crabs nei (Brachyura); Porgies/seabreams nei (Sparidae); Red swamp crawfish (Procambarus clarkii); Scomber mackerels nei (Scomber spp); Seerfishes nei (Scomberomorus spp); Short mackerel (Rastrelliger brachysoma); Sillago spp (Sillago spp); Silver pomfret (Pampus argenteus); Southern velvet shrimp (Metapenaeopsis palmensis); Spanner crab (Ranina ranina); Spotted catfish (Arius maculatus); Swimming crabs/etc. nei (Portunidae); Threadfin breams nei (Nemipterus spp); Wahoo (Acanthocybium solandri); White sardine (Escualosa thoracata),"Gillnets and entangling nets (not specified), (Demersal), Gillnets and entangling nets (not specified), (Pelagic)",787,787,,,,
Eels/morays/congers nei (Anguilliformes); Stingrays nei (Dasyatis spp),"Longlines (not specified), (Benthic)",46,46,,,,
"Banana prawn (Fenneropenaeus merguiensis); Barracudas nei (Sphyraena spp); Blackspot snapper (Lutjanus ehrenbergii); Blue swimming crab (Portunus pelagicus); Cobia (Rachycentron canadum); Demersal fishes nei (Osteichthyes); Emperor red snapper (Lutjanus sebae); Giant tiger prawn (Penaeus monodon); Goatfishes/red mullets nei (Mullidae); Greasyback shrimp (Metapenaeus ensis); Groupers nei (Epinephelus spp); Hairtails nei (Trichiurus spp); Humphead wrasse (Cheilinus undulatus); Indian volute (Melo melo); Jinga shrimp (Metapenaeus affinis); Lizardfishes nei (Synodontidae); Malabar blood snapper (Lutjanus malabaricus); Marine crabs nei (Brachyura); Porgies/seabreams nei (Sparidae); Red swamp crawfish (Procambarus clarkii); Sailfin snapper (Symphorichthys spilurus); Scads nei (Decapterus spp); Scallop (Chlamys livida); Sea catfishes nei (Ariidae); Sixbar grouper (Epinephelus sexfasciatus); Snappers nei (Lutjanus spp); Southern velvet shrimp (Metapenaeopsis palmensis); Spinefeet/Rabbitfishes nei (Siganus spp); Spotted catfish (Arius maculatus); Stingrays nei (Dasyatis spp); Swimming crabs/etc. nei (Portunidae); Threadfin breams nei (Nemipterus spp); Tonguefishes (Cynoglossidae); Torpedo scad (Megalaspis cordyla); Various squids nei (Loliginidae, Ommastrephidae); Whitespotted conger (Conger myriaster); Yesso scallop (Patinopecten yessoensis); blue_spotted flathead (Platycephalus caeruleopunctatus); glass perchlet (Parambassis","Beam trawls, (Demersal), Otter trawls (not specified), (Demersal),",3555,3555,,,,
Bigeye scad (Selar crumenophthalmus); Black pomfret (Parastromateus niger); Bonitos nei (Sarda spp); Commerson's anchovy (Stolephorus commersonii); Common dolphinfish (Coryphaena hippurus); Herrings/sardines nei (Clupeidae); Indian mackerel (Rastrelliger kanagurta); Japanese amberjack (Seriola quinqueradiata); Longtail tuna (Thunnus tonggol); Mackerels nei (Scombridae); Pelagic fishes nei (Osteichthyes); Pinjalo (Pinjalo pinjalo); Roughear scad (Decapterus tabl); Round scad (Decapterus punctatus); Scads nei (Decapterus spp); Scomber mackerels nei (Scomber spp); Seerfishes nei (Scomberomorus spp); Seerfishes nei (Scomberomorus spp); Short mackerel (Rastrelliger brachysoma); Silver pomfret (Pampus argenteus); Torpedo scad (Megalaspis cordyla); Wahoo (Acanthocybium solandri); Yellow and blueback fusilier (Caesio teres); Yellowfin tuna (Thunnus albacares); Yellowstripe scad (Selaroides leptolepis); Yellowtail scad (Atule mate),"Purse seines, (Demersal)",814,814,,,,
