ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Capelin (Mallotus villosus); European sprat (Sprattus sprattus),"Purse seines, (Pelagic)",370,,,1.33,NEAFC,"Humpback whale (North Atlantic): .33; Killer whale, orca (North East Atlantic): 1"
Saithe(=Pollock) (Pollachius virens),"Purse seines, (Pelagic)",,,100,,,
Atlantic cod (Gadus morhua); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); marine shrimps nei,"Trawls (not specified), (Bottom)",45,45,45,,"NAFO, NAEFC",
Anglerfishes nei (Lophiidae); Atlantic cod (Gadus morhua); Demersal fishes nei (Osteichthyes); Haddock (Melanogrammus aeglefinus); Ling (Molva molva); Saithe(=Pollock) (Pollachius virens); Tusk(=Cusk) (Brosme brosme); Wolffishes(=Catfishes) nei,"Longlines (not specified), (Bottom)",1322,1322,1322,,,
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Blue whiting(=Poutassou) (Micromesistius poutassou); Capelin (Mallotus villosus); European sprat (Sprattus sprattus),"Trawls (not specified), (Midwater)",140,,,,,
Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Saithe(=Pollock) (Pollachius virens),"Set gillnets/set nets (anchored), (Bottom)",2144,2144,2144,817,,"Gray seal (Norwegian coast): 29; Harbor porpoise (Norwegian coastal waters): 626; Harbor seal, common seal (Norwegian coast): 162"
Atlantic cod (Gadus morhua),"Set gillnets/set nets (anchored), (Bottom)",1600,,,1438,,"Gray seal (Norwegian coast): 179; Harbor porpoise (Norwegian coastal waters): 1046; Harbor seal, common seal (Norwegian coast): 213"
Monkfishes nei (Lophius spp),"Set gillnets/set nets (anchored), (Bottom)",50,,,1529,,"Gray seal (Norwegian coast): 184; Harbor porpoise (Norwegian coastal waters): 1126; Harbor seal, common seal (Norwegian coast): 219"
