"GearType","MarineMammalMortality"
"Gillnets and entangling nets (not specified), (Bottom)",0
"Gillnets and entangling nets (not specified), (Surface)",0
"Longlines (not specified), (Bottom)",0
"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",0
"Purse seines, (Midwater), Purse seines, (Surface)",0
"Set gillnets/set nets (anchored), (Bottom)",0
"Trawls (not specified), (Bottom)",0
"Trawls (not specified), (Midwater)",0
